week_end_date,geo_country,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
24-Oct-20,usa,12.60%,-39.30%,-14,-21.50%,13.40%,1.80%,-43.90%,-1.80%
17-Oct-20,usa,12.60%,-38.90%,-14,-21.90%,8.30%,1.50%,-45.50%,-2.00%
10-Oct-20,usa,12.60%,-39.30%,-14,-21.90%,11.70%,1.80%,-42.80%,-1.80%
3-Oct-20,usa,12.40%,-39.30%,-12,-19.50%,40.90%,3.80%,-44.10%,-1.90%
26-Sep-20,usa,12.10%,-39.10%,-13,-20.30%,7.90%,1.70%,-45.10%,-1.90%
19-Sep-20,usa,11.80%,-39.00%,-12,-19.50%,12.20%,2.00%,-44.30%,-1.80%
12-Sep-20,usa,11.60%,-38.70%,-11,-18.60%,1.30%,1.30%,-48.80%,-2.10%
5-Sep-20,usa,10.80%,-38.80%,-10,-16.10%,5.90%,1.70%,-46.80%,-1.90%
29-Aug-20,usa,11.10%,-38.10%,-9,-15.30%,2.00%,1.30%,-46.50%,-2.00%
22-Aug-20,usa,10.80%,-37.60%,-9,-14.40%,4.20%,1.40%,-45.40%,-1.90%
15-Aug-20,usa,10.50%,-36.90%,-9,-15.10%,4.50%,1.50%,-45.90%,-2.00%
8-Aug-20,usa,9.70%,-36.60%,-7,-12.50%,4.90%,1.50%,-44.90%,-1.90%
1-Aug-20,usa,8.80%,-36.10%,-6,-9.80%,-0.70%,1.10%,-45.10%,-1.90%
25-Jul-20,usa,8.70%,-35.20%,-5,-8.80%,2.10%,1.30%,-44.60%,-1.90%
18-Jul-20,usa,8.20%,-34.10%,-5,-8.80%,-4.90%,0.80%,-43.50%,-1.90%
11-Jul-20,usa,7.80%,-33.00%,-4,-7.00%,-10.10%,0.40%,-47.30%,-2.20%
4-Jul-20,usa,6.30%,-32.20%,0,0.00%,7.70%,1.40%,-33.50%,-1.00%
27-Jun-20,usa,6.30%,-31.20%,3,5.60%,-11.30%,0.20%,-43.40%,-1.80%
20-Jun-20,usa,6.20%,-29.80%,6,11.30%,-12.90%,0.10%,-42.40%,-1.70%
13-Jun-20,usa,5.90%,-27.90%,12,23.10%,-11.70%,0.20%,-40.20%,-1.60%
6-Jun-20,usa,4.70%,-26.10%,15,28.30%,-11.30%,0.20%,-40.80%,-1.60%
30-May-20,usa,4.30%,-24.60%,18,34.00%,-18.20%,-0.30%,-40.50%,-1.40%
23-May-20,usa,3.10%,-23.20%,18,34.60%,-13.90%,0.10%,-35.60%,-1.10%
16-May-20,usa,2.80%,-21.90%,17,33.30%,-22.60%,-0.60%,-40.90%,-1.50%
9-May-20,usa,1.60%,-20.80%,15,29.40%,-22.80%,-0.60%,-40.50%,-1.40%
2-May-20,usa,1.30%,-20.00%,12,22.60%,-31.60%,-1.40%,-46.10%,-1.70%
25-Apr-20,usa,0.30%,-18.70%,11,20.80%,-32.70%,-1.50%,-46.60%,-1.60%
18-Apr-20,usa,1.40%,-16.80%,8,15.10%,-38.00%,-2.00%,-41.90%,-1.20%
11-Apr-20,usa,1.30%,-17.20%,5,9.30%,-45.10%,-2.90%,-52.30%,-1.90%
4-Apr-20,usa,2.00%,-17.00%,1,2.30%,-31.20%,-1.70%,-47.20%,-1.80%
28-Mar-20,usa,2.80%,-16.00%,-3,-5.80%,-30.20%,-1.70%,-48.50%,-1.90%
21-Mar-20,usa,3.50%,-15.90%,-8,-13.10%,-8.70%,-0.10%,-33.30%,-1.30%
14-Mar-20,usa,4.30%,-16.60%,-8,-12.10%,4.70%,0.80%,-22.50%,-0.80%
7-Mar-20,usa,3.80%,-16.90%,-10,-14.20%,14.10%,1.50%,-20.60%,-0.70%
29-Feb-20,usa,2.90%,-17.10%,-7,-10.40%,2.10%,0.60%,-25.70%,-0.90%
22-Feb-20,usa,3.60%,-16.10%,-2,-2.70%,1.90%,0.60%,-29.10%,-1.10%
15-Feb-20,usa,2.70%,-15.90%,-1,-1.40%,-1.00%,0.40%,-30.00%,-1.20%
8-Feb-20,usa,1.70%,-15.70%,3,4.00%,-1.10%,0.50%,-24.10%,-0.80%
1-Feb-20,usa,3.10%,-15.10%,0,0.00%,-2.50%,0.30%,-28.30%,-1.10%
25-Jan-20,usa,3.40%,-15.00%,0,0.00%,-3.10%,0.30%,-25.30%,-0.90%
18-Jan-20,usa,3.30%,-14.40%,0,0.00%,-6.70%,0.10%,-27.00%,-1.00%
11-Jan-20,usa,3.50%,-13.90%,1,1.20%,-6.00%,0.10%,-22.00%,-0.80%
4-Jan-20,usa,3.50%,-13.30%,3,3.60%,-12.50%,-0.30%,-36.60%,-1.40%
28-Dec-19,usa,3.60%,-12.50%,0,0.00%,-7.10%,0.00%,-40.90%,-0.90%
21-Dec-19,usa,3.80%,-11.90%,1,1.30%,-2.00%,0.10%,-31.20%,-1.00%
14-Dec-19,usa,3.40%,-11.70%,0,0.00%,-6.80%,-0.10%,-25.50%,-0.90%
7-Dec-19,usa,3.40%,-11.20%,1,1.40%,-2.70%,0.10%,-16.10%,-0.60%
30-Nov-19,usa,3.40%,-10.40%,0,0.00%,-32.50%,-1.50%,-58.70%,-3.30%
23-Nov-19,usa,1.80%,-10.00%,-2,-2.80%,45.90%,1.70%,24.40%,0.90%
16-Nov-19,usa,3.40%,-9.70%,0,0.00%,-0.70%,0.10%,-20.90%,-1.00%
9-Nov-19,usa,3.40%,-8.80%,0,0.00%,-2.40%,0.00%,-18.00%,-0.90%
2-Nov-19,usa,4.40%,-9.00%,1,1.50%,-1.40%,0.10%,-26.00%,-1.60%
26-Oct-19,usa,5.10%,-8.40%,0,0.00%,-0.60%,0.10%,-22.40%,-1.30%
19-Oct-19,usa,5.10%,-8.20%,0,0.00%,-3.40%,0.00%,-20.50%,-1.20%
12-Oct-19,usa,4.90%,-6.80%,0,0.00%,-1.50%,0.00%,-21.70%,-1.30%
5-Oct-19,usa,5.10%,-6.40%,0,0.60%,-4.30%,-0.20%,-26.60%,-1.80%
