user_id,join_date,os,country
479430,2022-04-28,Android,United Kingdom
762014,2022-08-08,Android,Australia
923893,2022-09-12,Android,Bahamas
237065,2022-01-30,Android,United States
143874,2021-11-27,Android,United States
706716,2022-07-30,Android,Greece
1036797,2022-10-20,Android,Turkey
548827,2022-06-09,iOS,United Kingdom
744248,2022-08-06,Android,Israel
178172,2021-12-22,iOS,United States
725983,2022-08-03,iOS,United States
430983,2022-04-03,Android,United Kingdom
566063,2022-06-18,Android,United States
540865,2022-06-05,iOS,United Kingdom
575993,2022-06-22,Android,Germany
437274,2022-04-06,Android,United Kingdom
906991,2022-09-08,Android,Czechia
627376,2022-07-09,Android,Canada
566525,2022-06-18,iOS,United States
959925,2022-09-22,Android,Colombia
850111,2022-08-25,Android,United States
944833,2022-09-18,iOS,United Kingdom
860388,2022-08-27,Android,Spain
582688,2022-06-25,iOS,Denmark
478402,2022-04-27,iOS,United Kingdom
513606,2022-05-20,Android,United Kingdom
840695,2022-08-23,iOS,Italy
741360,2022-08-05,Android,Italy
722980,2022-08-03,Android,United States
1002607,2022-10-05,iOS,United States
554593,2022-06-13,iOS,United Kingdom
883101,2022-09-02,Android,Italy
926441,2022-09-13,Android,Cyprus
707561,2022-07-30,iOS,United Kingdom
647272,2022-07-16,iOS,Denmark
818525,2022-08-18,Android,Poland
596154,2022-06-29,iOS,Denmark
722546,2022-08-02,iOS,Haiti
594937,2022-06-29,iOS,Germany
739613,2022-08-05,Android,India
829696,2022-08-20,Android,United States
177434,2021-12-21,Android,United States
632492,2022-07-11,iOS,Germany
632068,2022-07-11,Android,Austria
537938,2022-06-04,Android,Spain
627479,2022-07-09,Android,United Kingdom
568509,2022-06-19,iOS,Norway
507654,2022-05-15,Android,United Kingdom
552439,2022-06-12,Android,Chile
528358,2022-05-30,Android,United Kingdom
994073,2022-10-02,iOS,United States
610201,2022-07-04,Android,United States
599162,2022-06-30,Android,United Kingdom
601757,2022-07-01,iOS,United States
871165,2022-08-29,iOS,Italy
608275,2022-07-03,iOS,United States
585267,2022-06-25,iOS,Norway
457245,2022-04-16,iOS,United Kingdom
553498,2022-06-12,Android,Chile
768165,2022-08-09,Android,Norway
1018655,2022-10-11,iOS,United States
184091,2021-12-31,iOS,United States
132050,2021-11-16,Android,Canada
508111,2022-05-16,Android,United Kingdom
599311,2022-06-30,Android,Spain
493347,2022-05-07,iOS,Chile
160635,2021-12-07,Android,United States
444640,2022-04-10,Android,United Kingdom
583381,2022-06-25,iOS,Sweden
183172,2021-12-29,Android,United States
237423,2022-01-30,iOS,United Kingdom
399360,2022-03-22,Android,France
664590,2022-07-21,iOS,Sweden
626277,2022-07-09,Android,New Zealand
881252,2022-09-01,Android,Romania
653418,2022-07-18,iOS,India
190511,2022-01-09,Android,United Kingdom
750901,2022-08-07,Android,Brazil
377843,2022-03-16,iOS,Chile
867628,2022-08-28,iOS,Spain
527516,2022-05-29,iOS,United Kingdom
360664,2022-03-10,Android,Chile
619975,2022-07-07,Android,Slovakia
398386,2022-03-22,iOS,United States
490372,2022-05-05,Android,United Kingdom
266982,2022-02-13,iOS,United States
629916,2022-07-10,iOS,Spain
455101,2022-04-15,iOS,United Kingdom
162490,2021-12-08,iOS,United Kingdom
173178,2021-12-16,iOS,United Kingdom
242464,2022-02-01,iOS,United Kingdom
687133,2022-07-26,iOS,United Kingdom
591937,2022-06-28,Android,Austria
769738,2022-08-10,iOS,Germany
755431,2022-08-07,Android,Brazil
457144,2022-04-16,iOS,United Kingdom
608838,2022-07-03,Android,South Africa
667755,2022-07-22,Android,Peru
567569,2022-06-18,Android,New Zealand
168729,2021-12-12,iOS,United Kingdom
615531,2022-07-05,Android,United Kingdom
213342,2022-01-24,Android,Germany
436895,2022-04-06,iOS,United Kingdom
974010,2022-09-26,Android,Norway
201035,2022-01-19,iOS,United Kingdom
155583,2021-12-05,iOS,United States
692557,2022-07-27,Android,Portugal
166831,2021-12-10,Android,United Kingdom
744669,2022-08-06,Android,Czechia
553666,2022-06-12,iOS,United Kingdom
123792,2021-11-05,Android,Germany
513462,2022-05-20,Android,Turkey
463398,2022-04-19,Android,Spain
105225,2021-10-09,iOS,Romania
467356,2022-04-21,iOS,United States
756926,2022-08-07,Android,United States
1075104,2022-11-10,Android,Canada
524346,2022-05-27,iOS,United Kingdom
107199,2021-10-10,Android,Netherlands
1069955,2022-11-07,Android,United States
522346,2022-05-26,iOS,United Kingdom
651569,2022-07-18,Android,Brazil
683612,2022-07-25,Android,United Kingdom
899837,2022-09-06,iOS,Poland
608620,2022-07-03,Android,Norway
679066,2022-07-25,Android,Vietnam
1026755,2022-10-14,Android,United States
431778,2022-04-03,iOS,United Kingdom
654245,2022-07-19,Android,United States
814722,2022-08-17,Android,United Kingdom
710380,2022-07-31,Android,United Kingdom
508386,2022-05-16,Android,United Kingdom
254656,2022-02-05,Android,United Kingdom
524406,2022-05-27,Android,United Kingdom
927206,2022-09-13,iOS,United Arab Emirates
927252,2022-09-13,Android,Iraq
649092,2022-07-17,Android,New Zealand
626315,2022-07-09,Android,Canada
485056,2022-05-01,iOS,United Kingdom
499684,2022-05-11,Android,Chile
751234,2022-08-07,Android,United Arab Emirates
890330,2022-09-04,Android,United States
201794,2022-01-20,iOS,United States
808614,2022-08-17,Android,Dominican Republic
542358,2022-06-06,iOS,United Kingdom
458451,2022-04-17,Android,Peru
597521,2022-06-29,Android,Belgium
458271,2022-04-16,Android,United Kingdom
881248,2022-09-01,iOS,France
693874,2022-07-27,Android,United States
626872,2022-07-09,Android,United States
952014,2022-09-19,Android,Puerto Rico
636974,2022-07-13,iOS,United States
540310,2022-06-05,iOS,United Kingdom
584827,2022-06-25,Android,Spain
462892,2022-04-19,iOS,United Kingdom
822594,2022-08-19,Android,Kazakhstan
902736,2022-09-07,iOS,Australia
903203,2022-09-07,Android,Peru
487337,2022-05-02,Android,United Kingdom
994489,2022-10-02,iOS,United Kingdom
109020,2021-10-13,Android,United States
928624,2022-09-13,Android,Netherlands
284812,2022-02-21,iOS,Norway
473693,2022-04-25,Android,United Kingdom
714377,2022-08-01,iOS,Spain
806034,2022-08-16,iOS,Germany
632746,2022-07-11,Android,Germany
506410,2022-05-15,Android,United Kingdom
428480,2022-03-30,Android,Spain
595781,2022-06-29,Android,United States
101402,2021-10-05,Android,United Kingdom
934592,2022-09-15,Android,Romania
463991,2022-04-19,Android,United Kingdom
563006,2022-06-17,Android,United States
148303,2021-12-01,Android,United States
1083999,2022-11-15,Android,Ireland
698594,2022-07-28,iOS,United Kingdom
918694,2022-09-11,Android,Chile
930505,2022-09-14,Android,Sweden
506336,2022-05-15,Android,United Kingdom
744194,2022-08-06,iOS,Germany
478922,2022-04-27,Android,United Kingdom
653757,2022-07-18,Android,France
644465,2022-07-15,Android,United States
460406,2022-04-17,Android,United Kingdom
697246,2022-07-28,iOS,United Kingdom
1014624,2022-10-09,Android,Portugal
1039128,2022-10-21,Android,Egypt
1026034,2022-10-14,Android,New Zealand
467037,2022-04-21,iOS,United Kingdom
631069,2022-07-10,Android,Germany
95173,2021-10-01,iOS,United States
578596,2022-06-23,Android,United Kingdom
984582,2022-09-29,Android,United States
618974,2022-07-06,iOS,United States
361203,2022-03-11,Android,Chile
935487,2022-09-15,Android,Germany
141678,2021-11-25,Android,United States
487547,2022-05-02,Android,United Kingdom
889163,2022-09-03,iOS,United Kingdom
674913,2022-07-24,iOS,Belgium
655479,2022-07-19,Android,United States
952290,2022-09-19,Android,United Kingdom
895379,2022-09-05,Android,United Kingdom
663285,2022-07-21,iOS,Germany
414438,2022-03-26,iOS,Chile
185878,2022-01-03,iOS,United States
128600,2021-11-11,iOS,Germany
694671,2022-07-27,Android,Peru
817201,2022-08-18,iOS,Greece
1010464,2022-10-07,Android,United States
682498,2022-07-25,Android,United States
623034,2022-07-08,Android,South Africa
797121,2022-08-14,iOS,France
919641,2022-09-11,iOS,India
870726,2022-08-29,Android,Canada
588187,2022-06-26,Android,Netherlands
620664,2022-07-07,Android,Spain
415577,2022-03-26,Android,United States
257325,2022-02-06,iOS,United States
991935,2022-10-01,Android,Israel
555919,2022-06-14,iOS,Australia
792835,2022-08-14,iOS,Germany
87894,2021-09-28,iOS,Turkey
595289,2022-06-29,iOS,Belgium
537424,2022-06-04,Android,Spain
123773,2021-11-05,iOS,Poland
779712,2022-08-11,Android,Portugal
479633,2022-04-28,iOS,United Kingdom
354884,2022-03-09,Android,Mexico
478846,2022-04-27,iOS,United Kingdom
481573,2022-04-29,Android,United Kingdom
875184,2022-08-31,Android,Germany
834121,2022-08-21,iOS,Portugal
826155,2022-08-20,Android,Austria
984232,2022-09-29,iOS,Romania
474748,2022-04-25,iOS,Poland
616863,2022-07-06,Android,Spain
993131,2022-10-02,Android,Kazakhstan
161921,2021-12-08,Android,United States
787956,2022-08-13,iOS,Sweden
961357,2022-09-22,Android,Netherlands
632900,2022-07-11,iOS,France
1066451,2022-11-05,Android,Netherlands
681716,2022-07-25,iOS,United Kingdom
802532,2022-08-16,iOS,United Kingdom
603363,2022-07-02,Android,United Kingdom
525140,2022-05-28,Android,Chile
831394,2022-08-21,Android,Italy
676102,2022-07-24,Android,United States
449726,2022-04-12,Android,United Kingdom
705912,2022-07-30,Android,Czechia
595708,2022-06-29,Android,Germany
374668,2022-03-13,Android,Chile
548391,2022-06-09,iOS,United Kingdom
476217,2022-04-26,iOS,United Kingdom
621005,2022-07-07,Android,Israel
561696,2022-06-16,iOS,United Kingdom
397679,2022-03-22,Android,Chile
487352,2022-05-02,Android,Chile
576387,2022-06-22,iOS,United Kingdom
896878,2022-09-05,iOS,Costa Rica
453681,2022-04-14,Android,Peru
447909,2022-04-11,Android,United Kingdom
928476,2022-09-13,iOS,Sweden
444563,2022-04-10,Android,Chile
240150,2022-01-31,iOS,United Kingdom
177281,2021-12-20,Android,United Kingdom
843717,2022-08-23,Android,Austria
457340,2022-04-16,iOS,United Kingdom
774708,2022-08-11,Android,United States
650287,2022-07-17,iOS,France
535822,2022-06-03,Android,Spain
467073,2022-04-21,iOS,United Kingdom
498957,2022-05-10,Android,United Kingdom
626216,2022-07-09,Android,New Zealand
900811,2022-09-06,Android,Germany
826039,2022-08-20,Android,Belgium
945926,2022-09-18,Android,Bosnia & Herzegovina
657810,2022-07-20,iOS,United States
584624,2022-06-25,Android,United States
588390,2022-06-26,Android,Canada
578289,2022-06-23,Android,Netherlands
810413,2022-08-17,Android,Italy
555545,2022-06-13,iOS,New Zealand
529915,2022-05-31,Android,United Kingdom
979724,2022-09-28,Android,United States
616581,2022-07-06,Android,United States
650566,2022-07-17,Android,Belgium
540298,2022-06-05,iOS,United Kingdom
529117,2022-05-30,iOS,Spain
658951,2022-07-20,Android,France
675618,2022-07-24,Android,Liberia
554584,2022-06-13,Android,Spain
970562,2022-09-25,Android,France
1094353,2022-11-22,Android,United States
619229,2022-07-06,Android,United States
1048757,2022-10-28,Android,United Kingdom
439224,2022-04-07,iOS,United Kingdom
987713,2022-09-30,Android,United States
579934,2022-06-24,Android,New Zealand
804723,2022-08-16,Android,Poland
656343,2022-07-19,Android,Colombia
722599,2022-08-02,iOS,Philippines
787725,2022-08-13,iOS,Israel
615515,2022-07-05,Android,Czechia
1030649,2022-10-16,iOS,United States
841249,2022-08-23,iOS,Germany
1006001,2022-10-06,Android,Austria
590369,2022-06-27,Android,Germany
880908,2022-09-01,iOS,Switzerland
204719,2022-01-21,iOS,United States
439718,2022-04-07,iOS,United Kingdom
824826,2022-08-19,Android,South Africa
427477,2022-03-30,Android,United Kingdom
613070,2022-07-05,iOS,Germany
717450,2022-08-01,Android,United States
833590,2022-08-21,Android,Guatemala
528911,2022-05-30,Android,United Kingdom
699723,2022-07-29,Android,United States
631412,2022-07-10,Android,United States
512849,2022-05-19,iOS,United Kingdom
982039,2022-09-28,Android,Slovakia
675683,2022-07-24,Android,France
543095,2022-06-06,Android,United Kingdom
1042660,2022-10-23,Android,Germany
920373,2022-09-11,iOS,Lithuania
667135,2022-07-22,iOS,South Korea
476915,2022-04-26,Android,United Kingdom
700842,2022-07-29,iOS,Moldova
925151,2022-09-12,Android,Malaysia
572953,2022-06-21,Android,Spain
643536,2022-07-15,Android,Kuwait
639035,2022-07-13,iOS,United States
187189,2022-01-05,iOS,United States
568296,2022-06-19,Android,Australia
661103,2022-07-20,Android,United States
919944,2022-09-11,iOS,United Kingdom
511651,2022-05-18,Android,Chile
718157,2022-08-02,Android,United States
582551,2022-06-24,Android,United States
480623,2022-04-28,Android,United Kingdom
632101,2022-07-11,Android,Canada
795584,2022-08-14,Android,Malaysia
90006,2021-09-29,iOS,Turkey
602173,2022-07-01,Android,Austria
693616,2022-07-27,Android,Poland
709278,2022-07-31,Android,Italy
761377,2022-08-08,Android,Italy
481891,2022-04-29,Android,Hungary
492924,2022-05-06,iOS,United Kingdom
599974,2022-06-30,Android,United States
649596,2022-07-17,Android,Germany
935289,2022-09-15,Android,Belgium
739026,2022-08-05,Android,France
576018,2022-06-22,Android,Germany
518270,2022-05-23,Android,Canada
463692,2022-04-19,iOS,United Kingdom
992756,2022-10-02,Android,Australia
580226,2022-06-24,Android,Australia
638467,2022-07-13,iOS,United States
